dset	format	protocol	real	user	sys	notes	blockCnt	baseCnt	date
10plusway-mapq	hdf5_gzip2	local	1618.60	1252.73	5.95	master	0	0	2018-12-09
10plusway-mapq	hdf5_uncmp	local	1797.40	1330.30	13.02	master	0	0	2018-12-09
10plusway-mapq	hdf5_gzip2	local	1166.92	714.37	4.36	baseline	0	0	2018-12-09
10plusway-mapq	hdf5_uncmp	local	1273.24	752.26	7.20	baseline	0	0	2018-12-09
10plusway-mapq	mmap	local	1176.24	173.35	10.36	baseline	0	0	2018-12-09
10plusway-mapq	hdf5_gzip2	local	1717.86	1311.85	9.45	master run 2	0	0	2018-12-10
10plusway-mapq	hdf5_uncmp	local	1603.57	1177.28	5.76	master run 2	0	0	2018-12-10
10plusway-mapq	hdf5_gzip2	local	1342.72	753.43	5.74	baseline run 2	0	0	2018-12-10
10plusway-mapq	hdf5_uncmp	local	1311.03	722.93	5.73	baseline run 2	0	0	2018-12-10
10plusway-mapq	mmap	local	869.13	177.16	10.87	baseline run 2	0	0	2018-12-10
